Time,T1,T5,T9,T10,Q1,Q2,Dt1,Dt2,C1,C2,TE
[min],°C,°C,°C,°C,l/h,l/h,°C,°C,kcal,kcal,°C
0,47.852,40.869,21.631,31.396,547.266,160.254,6.982,9.766,3821.239,1564.98,38.724
0.017,48.926,40.625,21.826,32.275,546.973,159.375,8.301,10.449,4540.3,1665.344,38.741
0.033,47.949,40.625,20.898,32.471,547.998,159.668,7.324,11.572,4013.658,1847.72,38.785
0.05,48.389,40.967,21.631,31.592,549.756,159.961,7.422,9.961,4080.219,1593.361,38.854
0.067,48.975,41.211,21.973,32.666,547.266,160.986,7.764,10.693,4248.791,1721.485,39.269
0.083,47.656,41.895,21.484,32.129,547.705,160.986,5.762,10.645,3155.723,1713.624,39.676
0.1,48.34,41.309,21.875,32.52,546.973,160.107,7.031,10.645,3845.901,1704.268,39.318
0.117,48.682,41.211,21.436,32.373,546.826,159.961,7.471,10.938,4085.176,1749.573,39.211
0.133,48.389,40.625,21.875,32.422,547.852,160.254,7.764,10.547,4253.34,1690.178,38.769
0.15,48.584,41.26,21.484,32.373,548.877,160.254,7.324,10.889,4020.095,1744.952,39.251
0.167,48.584,41.26,21.875,32.031,547.266,160.693,7.324,10.156,4008.293,1632.042,39.165
0.183,48.633,41.309,21.729,33.35,545.361,160.693,7.324,11.621,3994.346,1867.433,39.497
0.2,48.438,41.309,21.875,33.398,546.094,159.521,7.129,11.523,3893.051,1838.236,39.52
0.217,48.535,40.918,21.729,32.373,545.801,159.668,7.617,10.645,4157.467,1699.591,38.984
0.233,48.682,41.357,21.729,32.373,546.826,159.521,7.324,10.645,4005.075,1698.031,39.328
0.25,48.73,41.895,21.777,32.52,547.852,159.521,6.836,10.742,3745.079,1713.61,39.78
0.267,48.682,41.602,21.68,32.422,548.73,160.254,7.08,10.742,3885.055,1721.478,39.527
0.283,49.219,41.455,21.631,32.568,546.68,160.547,7.764,10.938,4244.242,1755.981,39.438
0.3,49.023,41.211,22.314,32.471,548.291,159.961,7.813,10.156,4283.524,1624.603,39.237
0.317,48.73,41.406,21.729,32.275,546.24,160.84,7.324,10.547,4000.783,1696.358,39.329
0.333,48.779,41.455,22.021,32.568,549.316,160.84,7.324,10.547,4023.314,1696.358,39.442
0.35,48.828,41.553,21.436,32.568,547.852,160.254,7.275,11.133,3985.834,1784.077,39.519
0.367,48.975,40.771,21.875,31.885,547.559,159.961,8.203,10.01,4491.692,1601.171,38.762
0.383,48.877,41.211,21.289,32.666,545.508,159.375,7.666,11.377,4181.871,1813.202,39.279
0.4,49.023,42.285,22.412,31.885,546.973,159.375,6.738,9.473,3685.656,1509.705,39.938
0.417,48.877,41.553,21.777,32.764,547.705,159.668,7.324,10.986,4011.512,1754.165,39.569
0.433,48.828,41.211,22.217,31.982,545.947,160.4,7.617,9.766,4158.583,1566.41,39.115
0.45,48.535,41.553,21.875,31.787,545.654,159.961,6.982,9.912,3809.988,1585.55,39.339
0.467,48.438,41.699,21.875,32.715,546.826,159.375,6.738,10.84,3684.669,1727.6,39.672
0.483,48.975,41.602,21.631,32.324,546.533,159.521,7.373,10.693,4029.615,1705.821,39.505
0.5,49.316,41.797,21.729,32.422,548.584,159.961,7.52,10.693,4125.094,1710.52,39.68
0.517,49.219,41.943,21.826,31.787,546.094,159.814,7.275,9.961,3973.045,1591.902,39.644
0.533,49.512,41.064,20.898,32.129,546.68,159.375,8.447,11.23,4617.949,1789.856,39.047
0.55,49.316,42.432,21.289,32.227,546.24,159.375,6.885,10.938,3760.736,1743.164,40.127
0.567,49.463,41.162,22.51,33.252,548.145,160.107,8.301,10.742,4550.028,1719.904,39.374
0.583,49.268,41.797,21.436,32.568,548.291,160.4,7.471,11.133,4096.119,1785.707,39.708
0.6,49.463,41.943,21.875,32.275,547.412,159.961,7.52,10.4,4116.282,1663.656,39.757
0.617,49.365,41.895,21.436,33.008,546.826,159.814,7.471,11.572,4085.176,1849.415,39.885
0.633,48.877,41.943,21.875,32.52,545.508,159.521,6.934,10.645,3782.33,1698.031,39.811
0.65,49.365,41.65,21.729,32.568,547.559,159.521,7.715,10.84,4224.329,1729.188,39.601
0.667,49.561,41.992,20.801,33.35,546.094,160.107,7.568,12.549,4133.034,2009.161,40.033
0.683,49.609,41.895,21.826,33.008,547.266,159.668,7.715,11.182,4222.069,1785.35,39.887
0.7,50,42.188,21.875,31.836,549.023,159.961,7.813,9.961,4289.246,1593.361,39.852
0.717,49.609,42.285,21.875,32.959,546.533,160.107,7.324,11.084,4002.929,1774.628,40.172
0.733,49.805,42.09,21.777,33.057,546.094,160.547,7.715,11.279,4213.028,1810.856,40.038
0.75,49.707,42.334,21.68,33.105,546.387,160.4,7.373,11.426,4028.535,1832.7,40.24
0.767,49.854,42.236,22.412,32.861,546.533,159.375,7.617,10.449,4163.046,1665.344,40.12
0.783,49.707,42.285,21.875,33.789,547.705,159.521,7.422,11.914,4064.999,1900.549,40.369
0.8,50,41.504,21.729,32.959,548.438,159.521,8.496,11.23,4659.576,1791.501,39.579
