Time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,Q1,Q2,Dt1,Dt2,C1,C2,TE
[min],°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,l/h,l/h,°C,°C,kcal,kcal,°C
0.000,30.713,26.270,26.514,26.758,29.639,25.635,25.684,25.586,25.635,26.660,571.875,547.705,1.074,1.025,614.319,561.612,28.182
0.017,30.713,26.318,26.465,26.709,29.688,25.781,25.586,25.537,25.586,26.660,572.168,547.705,1.025,1.074,586.696,588.355,28.207
0.033,30.713,26.221,26.514,26.660,29.785,25.684,25.635,25.586,25.537,26.563,571.875,550.342,0.928,1.025,530.548,564.315,28.205
0.050,30.664,26.221,26.514,26.855,29.639,25.732,25.684,25.537,25.537,26.660,572.168,545.508,1.025,1.123,586.696,612.631,28.185
0.067,30.713,26.221,26.416,26.904,29.688,25.732,25.635,25.537,25.537,26.660,571.436,548.291,1.025,1.123,585.945,615.757,28.205
0.083,30.762,26.318,26.416,26.807,29.736,25.732,25.635,25.537,25.488,26.660,571.875,548.438,1.025,1.172,586.395,642.700,28.230
0.100,30.811,26.318,26.465,26.807,29.736,25.684,25.635,25.586,25.586,26.709,571.875,546.240,1.074,1.123,614.319,613.453,28.257
0.117,30.615,26.270,26.514,26.904,29.688,25.732,25.684,25.537,25.537,26.660,572.607,548.145,0.928,1.123,531.228,615.592,28.207
0.133,30.811,26.270,26.563,26.807,29.688,25.830,25.635,25.391,25.537,26.660,571.875,548.145,1.123,1.123,642.242,615.592,28.206
0.150,30.713,26.172,26.465,26.807,29.688,25.781,25.586,25.586,25.537,26.709,571.875,547.266,1.025,1.172,586.395,641.327,28.231
0.167,30.664,26.221,26.514,26.855,29.639,25.732,25.635,25.537,25.488,26.660,572.168,549.316,1.025,1.172,586.696,643.730,28.180
0.183,30.762,26.172,26.367,26.758,29.736,25.732,25.586,25.537,25.635,26.709,571.875,547.705,1.025,1.074,586.395,588.355,28.255
0.200,30.713,26.270,26.465,26.758,29.639,25.684,25.635,25.439,25.537,26.709,571.875,546.973,1.074,1.172,614.319,640.984,28.206
0.217,30.713,26.270,26.465,26.758,29.785,25.537,25.635,25.586,25.537,26.563,571.729,547.998,0.928,1.025,530.412,561.912,28.208
