Time,T1,T5,T9,T10,Q1,Q2,Dt1,Dt2,C1,C2,TE
[min],°C,°C,°C,°C,l/h,l/h,°C,°C,kcal,kcal,°C
0.000,44.775,41.650,27.295,32.910,592.236,169.189,3.125,5.615,1850.739,950.038,39.708
0.017,44.727,41.748,27.246,33.008,590.625,170.361,2.979,5.762,1759.186,981.574,39.791
0.033,44.678,41.650,27.246,32.959,591.650,170.508,3.027,5.713,1791.129,974.092,39.706
0.050,44.775,41.553,27.197,32.959,591.504,169.336,3.223,5.762,1906.214,975.666,39.640
0.067,44.727,41.602,27.393,33.008,590.625,169.629,3.125,5.615,1845.703,952.506,39.684
0.083,44.678,41.553,27.148,33.057,590.625,170.068,3.125,5.908,1845.703,1004.798,39.653
0.100,44.727,41.699,27.197,32.959,591.064,170.508,3.027,5.762,1789.355,982.418,39.742
0.117,44.629,41.602,27.295,33.008,592.676,169.922,3.027,5.713,1794.233,970.745,39.687
0.133,44.629,41.602,27.295,32.910,592.090,168.896,3.027,5.615,1792.459,948.393,39.673
0.150,44.629,41.553,27.246,32.910,591.504,169.189,3.076,5.664,1819.568,958.300,39.630
0.167,44.727,41.504,27.295,33.105,591.650,169.629,3.223,5.811,1906.686,985.637,39.633
0.183,44.678,41.553,27.197,32.959,590.771,169.482,3.125,5.762,1846.161,976.510,39.637
0.200,44.580,41.553,27.148,32.959,590.332,168.457,3.027,5.811,1787.138,978.827,39.645
0.217,44.629,41.699,27.197,33.008,592.969,168.750,2.930,5.811,1737.213,980.530,39.774
0.233,44.678,41.504,27.344,33.008,590.771,168.750,3.174,5.664,1875.007,955.811,39.616
0.250,44.531,41.553,27.197,33.008,590.625,168.750,2.979,5.811,1759.186,980.530,39.654
0.267,44.482,41.504,27.246,32.861,590.332,168.750,2.979,5.615,1758.313,947.571,39.583
0.283,44.531,41.553,27.246,32.861,591.650,168.750,2.979,5.615,1762.240,947.571,39.624
0.300,44.531,41.455,27.197,32.910,591.797,168.750,3.076,5.713,1820.469,964.050,39.559
0.317,44.482,41.650,27.246,33.008,592.676,168.750,2.832,5.762,1678.476,972.290,39.735
0.333,44.580,41.553,27.197,32.959,590.918,168.750,3.027,5.762,1788.912,972.290,39.644
0.350,44.531,41.553,27.246,32.813,592.676,168.457,2.979,5.566,1765.294,937.700,39.618
0.367,44.580,41.406,27.295,32.959,591.943,168.164,3.174,5.664,1878.726,952.492,39.537
0.383,44.580,41.455,27.246,33.057,593.115,168.604,3.125,5.811,1853.485,979.679,39.596
0.400,44.531,41.504,27.393,32.910,591.797,168.604,3.027,5.518,1791.573,930.283,39.598
0.417,44.580,41.455,27.246,33.008,592.383,168.311,3.125,5.762,1851.196,969.758,39.586
0.433,44.434,41.553,27.148,32.861,591.064,167.871,2.881,5.713,1702.774,959.029,39.630
0.450,44.482,41.455,27.295,32.910,591.650,168.750,3.027,5.615,1791.129,947.571,39.559
0.467,44.385,41.455,27.295,32.910,592.236,168.750,2.930,5.615,1735.067,947.571,39.560
0.483,44.434,41.455,27.295,32.813,591.797,168.750,2.979,5.518,1762.676,931.091,39.537
0.500,44.482,41.357,27.295,32.959,591.650,167.725,3.125,5.664,1848.907,950.003,39.502
0.517,44.434,41.455,27.295,32.910,591.797,167.285,2.979,5.615,1762.676,939.345,39.572
0.533,44.336,41.406,27.246,32.764,592.383,167.432,2.930,5.518,1735.497,923.817,39.502
0.550,44.482,41.406,27.344,32.910,590.625,167.432,3.076,5.566,1816.864,931.993,39.530
0.567,44.434,41.357,27.295,32.959,590.625,168.164,3.076,5.664,1816.864,952.492,39.496
0.583,44.385,41.357,27.295,32.861,590.625,168.750,3.027,5.566,1788.025,939.331,39.469
0.600,44.434,41.406,27.295,32.959,590.625,168.604,3.027,5.664,1788.025,954.981,39.530
0.617,44.336,41.406,27.344,32.813,589.893,168.457,2.930,5.469,1728.201,921.249,39.497
0.633,44.287,41.455,27.295,32.813,590.479,168.750,2.832,5.518,1672.254,931.091,39.534
0.650,44.385,41.309,27.295,32.959,590.625,167.871,3.076,5.664,1816.864,950.832,39.461
0.667,44.287,41.357,27.344,32.764,591.211,167.432,2.930,5.420,1732.063,907.466,39.461
0.683,44.385,41.260,27.344,32.910,590.039,166.846,3.125,5.566,1843.872,928.731,39.419
0.700,44.336,41.309,27.344,32.959,590.625,167.871,3.027,5.615,1788.025,942.636,39.461
0.717,44.336,41.357,27.246,32.910,590.918,168.750,2.979,5.664,1760.058,955.811,39.481
0.733,44.385,41.260,27.344,32.764,592.969,168.750,3.125,5.420,1853.027,914.612,39.378
0.750,44.336,41.357,27.344,32.861,593.555,167.871,2.979,5.518,1767.912,926.242,39.484
0.767,44.336,41.309,27.393,32.861,592.236,168.164,3.027,5.469,1792.903,919.647,39.440
0.783,44.238,41.260,27.295,32.813,591.064,167.578,2.979,5.518,1760.495,924.625,39.394
0.800,44.336,41.260,27.344,32.910,592.383,168.164,3.076,5.566,1822.271,936.069,39.414
0.817,44.287,41.309,27.344,32.813,592.676,168.604,2.979,5.469,1765.294,922.050,39.427
0.833,44.287,41.260,27.295,32.959,590.625,168.164,3.027,5.664,1788.025,952.492,39.420
0.850,44.287,41.309,27.344,32.861,591.357,167.725,2.979,5.518,1761.367,925.434,39.442
0.867,44.238,41.260,27.393,32.861,589.893,168.164,2.979,5.469,1757.004,919.647,39.397
0.883,44.238,41.260,27.344,32.861,574.219,168.164,2.979,5.518,1710.320,927.858,39.357
0.900,44.287,41.162,27.295,32.861,519.434,168.457,3.125,5.566,1623.230,937.700,39.129
0.917,44.385,41.211,27.441,32.910,370.459,168.311,3.174,5.469,1175.773,920.448,38.618
0.933,44.385,41.211,27.344,32.861,262.207,164.209,3.174,5.518,832.200,906.036,37.996
0.950,44.385,41.211,27.393,32.764,238.330,163.330,3.174,5.371,756.419,877.261,37.776
0.967,44.385,41.260,27.393,32.861,233.936,161.865,3.125,5.469,731.049,885.201,37.825
0.983,44.434,41.260,27.393,32.813,232.471,162.891,3.174,5.420,737.822,882.854,37.779
1.000,44.531,41.162,27.344,32.813,231.006,162.598,3.369,5.469,778.291,889.206,37.713
1.017,44.482,41.260,27.393,32.813,231.592,161.865,3.223,5.420,746.341,877.297,37.785
1.033,44.629,41.211,27.246,32.910,231.445,162.598,3.418,5.664,791.073,920.963,37.786
1.050,44.580,41.260,27.393,32.813,230.566,162.451,3.320,5.420,765.553,880.473,37.768
1.067,44.580,41.162,27.344,32.910,229.102,162.744,3.418,5.566,783.062,905.900,37.735
1.083,44.678,41.260,27.295,32.764,229.834,162.891,3.418,5.469,785.565,890.808,37.736
1.100,44.678,41.211,27.295,32.813,228.516,162.305,3.467,5.518,792.217,895.529,37.723
1.117,44.775,41.162,27.441,32.715,227.783,162.451,3.613,5.273,823.045,856.676,37.646
1.133,44.922,41.162,27.197,32.861,228.369,163.330,3.760,5.664,858.614,925.112,37.701
1.150,44.922,41.162,27.490,32.813,228.516,163.477,3.760,5.322,859.165,870.066,37.680
1.167,44.971,41.211,27.344,32.813,228.662,163.037,3.760,5.469,859.716,891.609,37.715
1.183,45.068,41.113,27.393,32.813,226.465,164.355,3.955,5.420,895.686,890.794,37.622
1.200,45.264,41.113,27.197,32.861,226.025,163.623,4.150,5.664,938.094,926.771,37.648
1.217,45.264,41.113,27.295,32.813,226.318,163.037,4.150,5.518,939.310,899.570,37.637
1.233,45.508,41.016,27.441,32.715,225.732,162.598,4.492,5.273,1014.032,857.449,37.540
1.250,45.654,41.016,27.393,32.764,226.465,162.744,4.639,5.371,1050.496,874.114,37.565
1.267,45.703,41.064,27.344,32.813,226.465,163.037,4.639,5.469,1050.496,891.609,37.610
1.283,45.947,41.357,27.344,32.861,226.025,162.744,4.590,5.518,1037.421,897.954,37.801
1.300,46.094,41.064,27.393,32.666,225.879,163.037,5.029,5.273,1136.012,859.766,37.544
1.317,46.191,41.162,27.393,32.764,225.000,161.865,5.029,5.371,1131.592,869.393,37.648
1.333,46.436,40.967,27.393,32.715,225.000,163.037,5.469,5.322,1230.469,867.727,37.500
1.350,46.533,41.016,27.441,32.715,225.000,162.451,5.518,5.273,1241.455,856.676,37.535
1.367,46.729,41.064,27.393,32.617,226.318,162.891,5.664,5.225,1281.881,851.040,37.529
1.383,46.875,40.967,27.441,32.764,226.318,163.330,5.908,5.322,1337.135,869.286,37.528
1.400,46.875,40.967,27.393,32.764,225.000,162.451,5.908,5.371,1329.346,872.540,37.527
1.417,46.875,40.918,27.393,32.715,224.268,162.012,5.957,5.322,1335.969,862.269,37.477
1.433,46.973,40.918,27.441,32.715,225.000,162.451,6.055,5.273,1362.305,856.676,37.479
1.450,47.168,41.064,27.441,32.910,225.000,161.865,6.104,5.469,1373.291,885.201,37.653
1.467,47.510,40.869,27.344,32.764,224.561,162.158,6.641,5.420,1491.222,878.885,37.470
1.483,47.510,40.918,27.490,32.666,224.414,162.598,6.592,5.176,1479.292,841.570,37.451
1.500,47.510,40.967,27.344,32.764,219.141,162.744,6.543,5.420,1433.830,882.061,37.471
1.517,47.656,40.918,27.344,32.666,218.408,162.744,6.738,5.322,1471.696,866.168,37.395
1.533,47.852,40.967,27.393,32.666,218.115,162.744,6.885,5.273,1501.672,858.221,37.420
1.550,47.900,41.064,27.246,32.764,218.994,162.158,6.836,5.518,1497.030,894.721,37.533
1.567,47.900,40.918,27.344,32.617,217.969,162.598,6.982,5.273,1521.950,857.449,37.371
1.583,48.145,40.918,27.295,32.666,217.529,162.744,7.227,5.371,1571.989,874.114,37.386
1.600,48.242,41.016,27.441,32.568,217.529,162.451,7.227,5.127,1571.989,832.880,37.404
1.617,48.291,40.967,27.344,32.617,217.676,162.744,7.324,5.273,1594.305,858.221,37.395
1.633,48.340,41.016,27.393,32.520,217.969,161.865,7.324,5.127,1596.451,829.875,37.395
