Time,T1,T5,T11,T12,Q1,Dt1,Dt2,C1,C2
[min],°C,°C,°C,°C,l/h,°C,°C,kcal,kcal
0,57.959,52.783,27.49,39.648,586.963,5.176,12.158,3037.992,838.916
0.017,58.008,52.783,27.539,39.551,588.721,5.225,12.012,3075.836,828.809
0.033,58.008,52.783,27.49,39.6,587.109,5.225,12.109,3067.417,835.547
0.05,57.91,52.881,27.588,39.551,587.549,5.029,11.963,2954.957,825.439
0.067,57.91,52.832,27.539,39.6,588.428,5.078,12.061,2988.11,832.178
0.083,57.91,52.881,27.734,39.551,589.307,5.029,11.816,2963.798,815.332
0.1,58.057,52.832,27.539,39.648,586.084,5.225,12.109,3062.06,835.547
0.117,58.057,52.832,27.49,39.697,586.963,5.225,12.207,3066.652,842.285
0.133,58.008,52.783,27.49,39.551,585.645,5.225,12.061,3059.764,832.178
0.15,58.057,52.881,27.686,39.6,590.625,5.176,11.914,3056.946,822.07
0.167,58.105,52.832,27.686,39.551,590.625,5.273,11.865,3114.624,818.701
0.183,58.057,52.881,27.588,39.6,589.746,5.176,12.012,3052.397,828.809
0.2,58.057,52.93,27.588,39.746,587.549,5.127,12.158,3012.335,838.916
0.217,58.057,52.881,27.588,39.697,587.695,5.176,12.109,3041.782,835.547
0.233,58.057,52.832,27.441,39.648,590.332,5.225,12.207,3084.254,842.285
0.25,58.008,52.93,27.588,39.648,588.721,5.078,12.061,2989.597,832.178
0.267,58.105,52.881,27.393,39.697,588.574,5.225,12.305,3075.07,849.023
0.283,58.057,52.881,27.441,39.6,590.039,5.176,12.158,3053.913,838.916
0.3,58.105,52.881,27.49,39.746,587.549,5.225,12.256,3069.713,845.654
0.317,58.057,52.881,27.539,39.6,588.428,5.176,12.061,3045.573,832.178
0.333,58.154,52.832,27.588,39.502,587.695,5.322,11.914,3127.871,822.07
0.35,58.057,52.93,27.441,39.6,587.256,5.127,12.158,3010.833,838.916
0.367,58.008,52.979,27.49,39.648,589.307,5.029,12.158,2963.798,838.916
0.383,58.105,52.832,27.49,39.746,587.549,5.273,12.256,3098.402,845.654
0.4,58.105,52.93,27.588,39.746,588.721,5.176,12.158,3047.09,838.916
0.417,58.154,52.881,27.588,39.551,588.281,5.273,11.963,3102.264,825.439
0.433,58.154,53.076,27.637,39.746,586.963,5.078,12.109,2980.671,835.547
0.45,58.105,52.979,27.539,39.648,586.963,5.127,12.109,3009.331,835.547
0.467,58.154,52.93,27.539,39.648,585.791,5.225,12.109,3060.529,835.547
0.483,58.203,52.979,27.686,39.795,584.766,5.225,12.109,3055.172,835.547
0.5,58.154,52.783,27.49,39.697,586.084,5.371,12.207,3147.912,842.285
0.517,58.203,52.979,27.637,39.6,587.549,5.225,11.963,3069.713,825.439
0.533,58.105,52.783,27.588,39.648,586.377,5.322,12.061,3120.854,832.178
0.55,58.203,52.979,27.588,39.697,586.084,5.225,12.109,3062.06,835.547
0.567,58.154,52.979,27.588,39.697,587.549,5.176,12.109,3041.024,835.547
0.583,58.154,52.979,27.686,39.746,589.014,5.176,12.061,3048.606,832.178
0.6,58.154,53.027,27.49,39.648,588.428,5.127,12.158,3016.841,838.916
0.617,58.301,53.027,27.588,39.746,590.625,5.273,12.158,3114.624,838.916
0.633,58.203,52.979,27.686,39.648,589.6,5.225,11.963,3080.428,825.439
0.65,58.203,52.93,27.539,39.746,586.23,5.273,12.207,3091.45,842.285
0.667,58.252,52.979,27.588,39.648,583.008,5.273,12.061,3074.455,832.178
0.683,58.203,52.979,27.588,39.746,571.875,5.225,12.158,2987.823,838.916
0.7,58.154,53.027,27.441,39.795,432.715,5.127,12.354,2218.509,852.393
0.717,58.154,53.076,27.49,39.697,201.709,5.078,12.207,1024.303,842.285
0.733,58.252,53.125,27.539,39.795,149.707,5.127,12.256,767.541,845.654
0.75,58.203,53.076,27.539,39.697,154.395,5.127,12.158,791.574,838.916
0.767,58.154,53.027,27.637,39.648,153.516,5.127,12.012,787.067,828.809
0.783,58.301,53.027,27.539,39.648,151.904,5.273,12.109,801.058,835.547
0.8,58.203,53.076,27.441,39.551,150,5.127,12.109,769.043,835.547
